Sample Name, Sample-1
Time, March 10 15:21:05 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
353.0, 0.3899, 40.75
353.5, 0.3896, 40.77
354.0, 0.3894, 40.79
354.5, 0.3888, 40.85
355.0, 0.3883, 40.90
355.5, 0.3877, 40.95
356.0, 0.3871, 41.01
356.5, 0.3863, 41.09
357.0, 0.3859, 41.12
357.5, 0.3855, 41.16
358.0, 0.3851, 41.20
358.5, 0.3849, 41.22
359.0, 0.3846, 41.25
359.5, 0.3840, 41.31
360.0, 0.3834, 41.36
360.5, 0.3829, 41.41
361.0, 0.3824, 41.45
361.5, 0.3819, 41.50
362.0, 0.3815, 41.55
362.5, 0.3812, 41.57
363.0, 0.3809, 41.60
363.5, 0.3807, 41.62
364.0, 0.3804, 41.65
364.5, 0.3798, 41.71
365.0, 0.3793, 41.76
365.5, 0.3787, 41.81
366.0, 0.3781, 41.87
366.5, 0.3775, 41.92
367.0, 0.3774, 41.94
367.5, 0.3772, 41.96
368.0, 0.3768, 41.99
368.5, 0.3765, 42.02
369.0, 0.3763, 42.05
369.5, 0.3759, 42.09
370.0, 0.3752, 42.15
370.5, 0.3753, 42.14
371.0, 0.3748, 42.19
371.5, 0.3746, 42.21
372.0, 0.3741, 42.26
372.5, 0.3738, 42.29
373.0, 0.3738, 42.29
373.5, 0.3738, 42.29
374.0, 0.3731, 42.35
374.5, 0.3726, 42.40
375.0, 0.3720, 42.46
375.5, 0.3716, 42.50
376.0, 0.3713, 42.53
376.5, 0.3710, 42.56
377.0, 0.3707, 42.59
377.5, 0.3705, 42.60
378.0, 0.3705, 42.61
378.5, 0.3701, 42.65
379.0, 0.3696, 42.69
379.5, 0.3692, 42.74
380.0, 0.3688, 42.78
380.5, 0.3686, 42.80
381.0, 0.3684, 42.82
381.5, 0.3678, 42.87
382.0, 0.3675, 42.90
382.5, 0.3676, 42.90
383.0, 0.3674, 42.91
383.5, 0.3669, 42.97
384.0, 0.3665, 43.01
384.5, 0.3661, 43.04
385.0, 0.3659, 43.07
385.5, 0.3656, 43.09
386.0, 0.3653, 43.12
386.5, 0.3650, 43.16
387.0, 0.3646, 43.19
387.5, 0.3645, 43.20
388.0, 0.3643, 43.22
388.5, 0.3640, 43.25
389.0, 0.3635, 43.30
389.5, 0.3632, 43.33
390.0, 0.3630, 43.36
390.5, 0.3630, 43.35
391.0, 0.3626, 43.39
391.5, 0.3625, 43.40
392.0, 0.3621, 43.44
392.5, 0.3622, 43.43
393.0, 0.3619, 43.46
393.5, 0.3616, 43.49
394.0, 0.3612, 43.54
394.5, 0.3611, 43.54
395.0, 0.3608, 43.57
395.5, 0.3604, 43.61
396.0, 0.3601, 43.64
396.5, 0.3598, 43.67
397.0, 0.3596, 43.69
397.5, 0.3596, 43.69
398.0, 0.3592, 43.73
398.5, 0.3589, 43.76
399.0, 0.3587, 43.78
399.5, 0.3583, 43.82
400.0, 0.3583, 43.82
400.5, 0.3579, 43.87
401.0, 0.3577, 43.89
401.5, 0.3574, 43.91
402.0, 0.3573, 43.92
402.5, 0.3572, 43.93
403.0, 0.3569, 43.97
403.5, 0.3567, 43.99
404.0, 0.3563, 44.02
404.5, 0.3562, 44.03
405.0, 0.3559, 44.06
405.5, 0.3558, 44.08
406.0, 0.3555, 44.11
406.5, 0.3553, 44.13
407.0, 0.3552, 44.13
407.5, 0.3550, 44.16
408.0, 0.3548, 44.18
408.5, 0.3545, 44.21
409.0, 0.3543, 44.23
409.5, 0.3540, 44.25
410.0, 0.3538, 44.27
410.5, 0.3536, 44.30
411.0, 0.3535, 44.31
411.5, 0.3531, 44.35
412.0, 0.3531, 44.35
412.5, 0.3530, 44.36
413.0, 0.3528, 44.38
413.5, 0.3525, 44.41
414.0, 0.3523, 44.44
414.5, 0.3520, 44.46
415.0, 0.3519, 44.47
415.5, 0.3517, 44.49
416.0, 0.3515, 44.51
416.5, 0.3513, 44.53
417.0, 0.3512, 44.54
417.5, 0.3511, 44.55
418.0, 0.3509, 44.58
418.5, 0.3507, 44.59
419.0, 0.3504, 44.63
419.5, 0.3501, 44.66
420.0, 0.3501, 44.66
420.5, 0.3499, 44.67
421.0, 0.3497, 44.70
421.5, 0.3495, 44.72
422.0, 0.3494, 44.73
422.5, 0.3493, 44.74
423.0, 0.3491, 44.76
423.5, 0.3488, 44.79
424.0, 0.3486, 44.81
424.5, 0.3484, 44.83
425.0, 0.3483, 44.84
425.5, 0.3482, 44.85
426.0, 0.3481, 44.87
426.5, 0.3479, 44.89
427.0, 0.3477, 44.91
427.5, 0.3475, 44.93
428.0, 0.3474, 44.94
428.5, 0.3473, 44.95
429.0, 0.3471, 44.96
429.5, 0.3469, 44.99
430.0, 0.3468, 45.00
430.5, 0.3466, 45.02
431.0, 0.3465, 45.03
431.5, 0.3464, 45.04
432.0, 0.3463, 45.05
432.5, 0.3461, 45.08
433.0, 0.3460, 45.09
433.5, 0.3458, 45.10
434.0, 0.3456, 45.13
434.5, 0.3454, 45.15
435.0, 0.3454, 45.15
435.5, 0.3452, 45.16
436.0, 0.3452, 45.17
436.5, 0.3450, 45.19
437.0, 0.3448, 45.21
437.5, 0.3446, 45.22
438.0, 0.3446, 45.23
438.5, 0.3444, 45.24
439.0, 0.3443, 45.26
439.5, 0.3441, 45.28
440.0, 0.3440, 45.29
440.5, 0.3438, 45.31
441.0, 0.3438, 45.31
441.5, 0.3437, 45.32
442.0, 0.3434, 45.36
442.5, 0.3432, 45.37
443.0, 0.3432, 45.38
443.5, 0.3430, 45.39
444.0, 0.3429, 45.41
444.5, 0.3427, 45.43
445.0, 0.3427, 45.42
445.5, 0.3426, 45.44
446.0, 0.3425, 45.45
446.5, 0.3422, 45.48
447.0, 0.3421, 45.49
447.5, 0.3419, 45.51
448.0, 0.3418, 45.51
448.5, 0.3417, 45.53
449.0, 0.3415, 45.55
449.5, 0.3413, 45.57
450.0, 0.3415, 45.56
450.5, 0.3414, 45.57
451.0, 0.3412, 45.58
451.5, 0.3411, 45.59
452.0, 0.3409, 45.62
452.5, 0.3409, 45.62
453.0, 0.3407, 45.63
453.5, 0.3407, 45.63
454.0, 0.3406, 45.65
454.5, 0.3403, 45.68
455.0, 0.3401, 45.70
455.5, 0.3399, 45.72
456.0, 0.3399, 45.72
456.5, 0.3399, 45.72
457.0, 0.3397, 45.74
457.5, 0.3396, 45.75
458.0, 0.3396, 45.75
458.5, 0.3394, 45.77
459.0, 0.3394, 45.77
459.5, 0.3393, 45.78
460.0, 0.3391, 45.80
460.5, 0.3389, 45.82
461.0, 0.3389, 45.82
461.5, 0.3388, 45.83
462.0, 0.3387, 45.85
462.5, 0.3386, 45.86
463.0, 0.3385, 45.86
463.5, 0.3386, 45.86
464.0, 0.3385, 45.87
464.5, 0.3382, 45.89
465.0, 0.3381, 45.91
465.5, 0.3380, 45.92
466.0, 0.3380, 45.92
466.5, 0.3379, 45.93
467.0, 0.3377, 45.95
467.5, 0.3376, 45.96
468.0, 0.3375, 45.98
468.5, 0.3376, 45.96
