Sample Name, Sample-1
Time, March 10 13:30:39 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
406.5, 0.0351, 92.24
407.0, 0.0352, 92.22
407.5, 0.0351, 92.23
408.0, 0.0351, 92.24
408.5, 0.0351, 92.24
409.0, 0.0351, 92.24
409.5, 0.0350, 92.25
410.0, 0.0350, 92.26
410.5, 0.0350, 92.26
411.0, 0.0350, 92.27
411.5, 0.0350, 92.25
412.0, 0.0350, 92.25
412.5, 0.0351, 92.25
413.0, 0.0350, 92.25
413.5, 0.0350, 92.25
414.0, 0.0350, 92.26
414.5, 0.0350, 92.26
415.0, 0.0350, 92.26
415.5, 0.0349, 92.28
416.0, 0.0350, 92.26
416.5, 0.0350, 92.27
417.0, 0.0349, 92.28
417.5, 0.0349, 92.27
418.0, 0.0350, 92.26
418.5, 0.0349, 92.28
419.0, 0.0349, 92.28
419.5, 0.0349, 92.28
420.0, 0.0349, 92.28
420.5, 0.0349, 92.29
421.0, 0.0349, 92.29
421.5, 0.0349, 92.29
422.0, 0.0348, 92.29
422.5, 0.0349, 92.29
423.0, 0.0348, 92.29
423.5, 0.0348, 92.30
424.0, 0.0348, 92.30
424.5, 0.0348, 92.30
425.0, 0.0347, 92.32
425.5, 0.0348, 92.30
426.0, 0.0348, 92.31
426.5, 0.0348, 92.30
427.0, 0.0348, 92.31
427.5, 0.0347, 92.31
428.0, 0.0347, 92.32
428.5, 0.0347, 92.32
429.0, 0.0347, 92.32
429.5, 0.0347, 92.32
430.0, 0.0347, 92.32
430.5, 0.0347, 92.32
431.0, 0.0347, 92.32
431.5, 0.0347, 92.32
432.0, 0.0346, 92.34
432.5, 0.0346, 92.33
433.0, 0.0346, 92.34
433.5, 0.0346, 92.34
434.0, 0.0346, 92.35
434.5, 0.0346, 92.34
435.0, 0.0346, 92.35
435.5, 0.0346, 92.34
